discord_tag,team,tier,week_1_score,week_2_score,week_3_score,week_4_score,week_5_score,week_8_score,week_9_score,week_10_score,week_11_score,week_12_score,week_13_score,week_14_score,week_15_score,week_16_score
Apathy#0019,cct,Harmony Tier,54,54,54,0,0,0,0,0,0,0,0,0,0,0
ArtemmysOnyxNova#9397,cct,None of the above,35,0,0,0,0,0,0,0,0,0,0,0,0,0
bbnicky#6184,Vanguard Spartans,Harmony Tier,36,58,51,0,0,0,0,0,0,0,0,0,0,0
BOOSTIO#8571,Chrysalis,Harmony Tier,21,46,30,0,0,0,0,0,0,0,0,0,0,0
Booth#9643,cct,None of the above,37,37,53,0,0,0,0,0,0,0,0,0,0,0
BubbaWyatt#4497,Sky Gaurdian,Harmony Tier,0,49,44,0,0,0,0,0,0,0,0,0,0,0
ch0bee#3168,chrysalis,Harmony Tier,41,40,37,0,0,0,0,0,0,0,0,0,0,0
ClassyTurtle648#0648,Domination,Discord Tier,0,23,0,0,0,0,0,0,0,0,0,0,0,0
CucumberedPickle#9962,Luminous Foxes,Harmony Tier,0,0,46,0,0,0,0,0,0,0,0,0,0,0
Delphy#8992,"Decapi-Taters, cct",Transcendence Tier,28,0,0,0,0,0,0,0,0,0,0,0,0,0
DONGERLORD#6969,Mark III,Discord Tier,0,0,41,0,0,0,0,0,0,0,0,0,0,0
dwengw50#5417,Ragnarok Odin,Transcendence Tier,0,45,58,0,0,0,0,0,0,0,0,0,0,0
Exu#4632,"Palm Beach Poggers, and I am affiliated with Yikes",Harmony Tier,53,0,0,0,0,0,0,0,0,0,0,0,0,0
fate#9999,V3,Discord Tier,0,41,0,0,0,0,0,0,0,0,0,0,0,0
gilly#3305,S.S Cuttlefish,Transcendence Tier,0,25,0,0,0,0,0,0,0,0,0,0,0,0
glitcch#1117,reminiscence,Discord Tier,0,54,46,0,0,0,0,0,0,0,0,0,0,0
Greninja#0012,Echo Fleet,Discord Tier,0,43,0,0,0,0,0,0,0,0,0,0,0,0
growloo#0007,council of anime girls,Transcendence Tier,42,0,29,0,0,0,0,0,0,0,0,0,0,0
HBBowsy64#4727,cct,None of the above,42,50,51,0,0,0,0,0,0,0,0,0,0,0
Jakeleon#4055,Platlaws,Transcendence Tier,0,0,43,0,0,0,0,0,0,0,0,0,0,0
KalmarWingfeather#2873,cct,None of the above,35,0,45,0,0,0,0,0,0,0,0,0,0,0
Kapitol#1113,"Flashbacks, Reminiscence, Amnesia, cct",Transcendence Tier,45,58,52,0,0,0,0,0,0,0,0,0,0,0
kobe#8666,Zeus,Transcendence Tier,0,0,36,0,0,0,0,0,0,0,0,0,0,0
Kryy#1919,Amnesia,Transcendence Tier,50,55,54,0,0,0,0,0,0,0,0,0,0,0
LCS#3455,Reminiscene,Discord Tier,50,55,0,0,0,0,0,0,0,0,0,0,0,0
McRice#2709,Mark III,Discord Tier,0,0,22,0,0,0,0,0,0,0,0,0,0,0
MisterYeti#9471,"Big Bang Buccaneers, cct",Harmony Tier,34,64,51,0,0,0,0,0,0,0,0,0,0,0
my1oh#9290,Sky Guardians,Harmony Tier,43,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagisa#3333,Seal Team Spuds,Discord Tier,0,44,0,0,0,0,0,0,0,0,0,0,0,0
Nevino#2884,cct,Harmony Tier,0,50,60,0,0,0,0,0,0,0,0,0,0,0
NPC#8058,cct,None of the above,33,35,48,0,0,0,0,0,0,0,0,0,0,0
Ocie#4023,"Odin, cct",Transcendence Tier,42,37,0,0,0,0,0,0,0,0,0,0,0,0
Order#5100,Chrysalis,Harmony Tier,0,26,0,0,0,0,0,0,0,0,0,0,0,0
pdk#9729,none,None of the above,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Placebo#8901,Big Fan of them all. Esp that Booth guy,None of the above,0,50,0,0,0,0,0,0,0,0,0,0,0,0
ProGamer360#3447,Semi-Coaching Decapitators,Transcendence Tier,40,58,46,0,0,0,0,0,0,0,0,0,0,0
Seen#7590,Luminous Foxes,Harmony Tier,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Silentsword#3390,Quokka queens,Discord Tier,0,40,0,0,0,0,0,0,0,0,0,0,0,0
smoke#4000,Flashbacks,Harmony Tier,0,0,49,0,0,0,0,0,0,0,0,0,0,0
Stonky#9047,The Miami Yikes,Harmony Tier,44,0,0,0,0,0,0,0,0,0,0,0,0,0
Storm#1958,"Monarch, Chrysalis",Discord Tier,38,56,40,0,0,0,0,0,0,0,0,0,0,0
sunshine#6461,Chrysalis,Harmony Tier,21,30,0,0,0,0,0,0,0,0,0,0,0,0
T0X1C#5624,Echo Fleet,Discord Tier,0,42,55,0,0,0,0,0,0,0,0,0,0,0
Thor#0586,"Odin; Fenrir; Loki, cct",Discord Tier,34,32,0,0,0,0,0,0,0,0,0,0,0,0
Toasty#6212,Vanguard Spartans,Harmony Tier,0,52,0,0,0,0,0,0,0,0,0,0,0,0
train#0902,Amnesia & Big Bang Buccaneers,Transcendence Tier,0,60,54,0,0,0,0,0,0,0,0,0,0,0
Traffic#1539,Palm Beach Poggers,Harmony Tier,0,0,38,0,0,0,0,0,0,0,0,0,0,0
tri#2168,flashbacks,Harmony Tier,43,52,38,0,0,0,0,0,0,0,0,0,0,0
Vaal Nailo#5420,Spartans,Harmony Tier,0,42,56,0,0,0,0,0,0,0,0,0,0,0
Worst_Casts#9756,cct,None of the above,45,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoon#0780,Echo Fleet,Discord Tier,0,52,0,0,0,0,0,0,0,0,0,0,0,0
